<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.CL,D,20190128,000000,53.5000000,53.5000000,51.4000000,52.1500000,743
SPFB.CL,D,20190129,000000,52.2400000,53.9100000,52.0000000,53.2600000,637
SPFB.CL,D,20190130,000000,53.3000000,54.9000000,53.1200000,54.3200000,1613
SPFB.CL,D,20190131,000000,54.6100000,55.2700000,53.6800000,53.9100000,2842
SPFB.CL,D,20190201,000000,53.7800000,55.5700000,53.3500000,55.3800000,982
SPFB.CL,D,20190204,000000,55.2900000,55.7000000,53.2900000,54.7700000,1540
SPFB.CL,D,20190205,000000,54.7000000,55.1600000,53.5700000,53.7300000,774
SPFB.CL,D,20190206,000000,53.5800000,54.3100000,52.9000000,53.9400000,409
SPFB.CL,D,20190207,000000,53.7200000,54.2200000,51.7800000,52.6200000,618
SPFB.CL,D,20190208,000000,52.5100000,52.9500000,52.1700000,52.6500000,829
SPFB.CL,D,20190211,000000,52.6900000,52.9700000,51.7400000,52.7300000,1211
SPFB.CL,D,20190212,000000,53.0000000,54.3400000,53.0000000,53.9200000,157
SPFB.CL,D,20190213,000000,53.8200000,54.7300000,53.7400000,54.4700000,468
SPFB.CL,D,20190214,000000,54.8200000,55.0500000,53.6700000,54.9500000,1756
SPFB.CL,D,20190215,000000,54.8800000,56.1900000,54.7700000,56.1900000,342
SPFB.CL,D,20190218,000000,56.4000000,56.6100000,56.2100000,56.3800000,756
SPFB.CL,D,20190219,000000,56.3900000,56.5200000,55.7000000,56.4900000,678
SPFB.CL,D,20190220,000000,56.5900000,57.5100000,55.8300000,57.2700000,1135
SPFB.CL,D,20190221,000000,57.3500000,57.5600000,56.8000000,56.8000000,1425
SPFB.CL,D,20190222,000000,57.1100000,57.7400000,57.0900000,57.2100000,221
SPFB.CL,D,20190225,000000,57.2300000,57.4600000,55.0800000,55.4000000,1533
SPFB.CL,D,20190226,000000,55.3300000,55.9500000,55.1700000,55.7000000,532
SPFB.CL,D,20190227,000000,56.1100000,57.3600000,56.0600000,57.0500000,1419
SPFB.CL,D,20190228,000000,56.7500000,57.3800000,56.4600000,57.2100000,9920
SPFB.CL,D,20190301,000000,57.7600000,57.7600000,55.7000000,55.7000000,1401
SPFB.CL,D,20190304,000000,56.0600000,56.9000000,55.8700000,56.5600000,176
SPFB.CL,D,20190305,000000,56.3900000,57.1700000,56.0900000,56.6600000,752
SPFB.CL,D,20190306,000000,56.2000000,56.4900000,55.5200000,56.2300000,792
SPFB.CL,D,20190307,000000,56.2100000,56.9800000,56.0300000,56.6300000,514
SPFB.CL,D,20190311,000000,56.9900000,57.3000000,56.6700000,57.1700000,93
SPFB.CL,D,20190312,000000,57.3300000,57.7600000,57.1600000,57.2200000,436
SPFB.CL,D,20190313,000000,57.6200000,58.7300000,57.4300000,58.7000000,201
SPFB.CL,D,20190314,000000,58.9100000,59.0400000,58.4200000,58.8000000,254
SPFB.CL,D,20190315,000000,58.9700000,59.2500000,58.1200000,58.7400000,220
SPFB.CL,D,20190318,000000,58.7500000,59.5200000,58.4000000,59.2100000,679
SPFB.CL,D,20190319,000000,59.4000000,59.8600000,58.8800000,59.0600000,1461
SPFB.CL,D,20190320,000000,59.4000000,60.2200000,58.6200000,60.0200000,1964
SPFB.CL,D,20190321,000000,60.2000000,60.4200000,59.6300000,59.8000000,3513
SPFB.CL,D,20190322,000000,60.0100000,60.0700000,58.3200000,58.9100000,1778
SPFB.CL,D,20190325,000000,58.7000000,59.3000000,58.2300000,59.1500000,431
SPFB.CL,D,20190326,000000,59.1800000,60.3000000,59.1800000,59.9600000,1559
SPFB.CL,D,20190327,000000,59.9100000,60.1000000,59.0600000,59.4400000,2628
SPFB.CL,D,20190328,000000,59.1900000,59.4900000,58.3100000,59.4900000,1520
SPFB.CL,D,20190329,000000,59.4400000,60.5100000,59.4400000,60.1600000,1113
SPFB.CL,D,20190401,000000,60.5000000,61.7000000,60.4900000,61.7000000,4649
SPFB.CL,D,20190402,000000,61.7600000,62.6800000,61.6400000,62.5000000,24813
SPFB.CL,D,20190403,000000,62.7600000,62.9300000,62.1200000,62.4800000,6863
SPFB.CL,D,20190404,000000,62.3300000,62.7500000,62.0000000,62.1000000,820
SPFB.CL,D,20190405,000000,62.0600000,63.3400000,61.8400000,63.3200000,1072
SPFB.CL,D,20190408,000000,63.4300000,64.4800000,63.1700000,64.4800000,920
SPFB.CL,D,20190409,000000,64.4600000,64.7600000,63.7200000,64.2700000,1088
SPFB.CL,D,20190410,000000,64.3300000,64.7000000,64.1900000,64.6800000,235
SPFB.CL,D,20190411,000000,64.4300000,64.4300000,63.5800000,63.7600000,64
SPFB.CL,D,20190412,000000,63.8900000,64.6400000,63.8300000,63.9500000,22
SPFB.CL,D,20190415,000000,63.8300000,63.8900000,63.3000000,63.6200000,270
SPFB.CL,D,20190416,000000,63.4000000,64.4400000,63.2900000,64.4400000,300
SPFB.CL,D,20190417,000000,64.5900000,64.6700000,63.7600000,63.9000000,68
SPFB.CL,D,20190418,000000,63.7600000,64.1600000,63.6400000,64.0600000,1290
SPFB.CL,D,20190419,000000,64.0600000,64.1800000,63.9200000,64.1800000,152
SPFB.CL,D,20190422,000000,64.1800000,66.0500000,64.1800000,65.7500000,1397
SPFB.CL,D,20190423,000000,66.0500000,66.6000000,65.5900000,66.2400000,873
SPFB.CL,D,20190424,000000,65.9500000,66.3900000,65.6900000,65.6900000,528
SPFB.CL,D,20190425,000000,66.0300000,66.2700000,64.9500000,65.0400000,1051
SPFB.CL,D,20190426,000000,64.9600000,65.0500000,62.3300000,62.9400000,2281
SPFB.CL,D,20190429,000000,62.8400000,63.6400000,62.5000000,63.6000000,1070
SPFB.CL,D,20190430,000000,63.6200000,64.7500000,63.3600000,63.5000000,1817
SPFB.CL,D,20190502,000000,63.3700000,63.4600000,61.0200000,61.6600000,2292
SPFB.CL,D,20190503,000000,61.7300000,62.5200000,61.2800000,61.9300000,816
SPFB.CL,D,20190506,000000,61.8400000,62.9000000,60.1000000,62.6700000,1186
SPFB.CL,D,20190507,000000,62.4200000,62.4600000,60.6500000,61.3700000,887
SPFB.CL,D,20190508,000000,61.7100000,62.3400000,61.0600000,62.0800000,2104
SPFB.CL,D,20190510,000000,62.0500000,62.3200000,61.6100000,61.8900000,455
SPFB.CL,D,20190513,000000,61.9000000,63.4000000,60.9700000,61.0600000,954
SPFB.CL,D,20190514,000000,61.3100000,62.2200000,60.9000000,61.5900000,769
SPFB.CL,D,20190515,000000,61.5000000,62.5500000,61.2000000,62.4000000,472
SPFB.CL,D,20190516,000000,62.5100000,63.6000000,62.5100000,63.2700000,339
SPFB.CL,D,20190517,000000,63.1300000,63.7200000,62.7800000,62.8300000,174
SPFB.CL,D,20190520,000000,63.6400000,63.8000000,62.7000000,63.2800000,1160
SPFB.CL,D,20190521,000000,63.4500000,63.8100000,62.8900000,62.9300000,1526
SPFB.CL,D,20190522,000000,62.6100000,62.7600000,61.1000000,61.3200000,2054
SPFB.CL,D,20190523,000000,61.2000000,61.2000000,57.4200000,58.2300000,2659
SPFB.CL,D,20190524,000000,58.5200000,59.0400000,57.5700000,59.0200000,1239
SPFB.CL,D,20190527,000000,58.5000000,59.3200000,58.2500000,59.0300000,580
SPFB.CL,D,20190528,000000,59.0200000,59.4800000,58.7600000,59.0000000,616
SPFB.CL,D,20190529,000000,58.4700000,59.1300000,56.9100000,59.1200000,2149
SPFB.CL,D,20190530,000000,59.3200000,59.6800000,56.3400000,56.5000000,1913
SPFB.CL,D,20190531,000000,55.8200000,56.2300000,53.1100000,53.3100000,2000
SPFB.CL,D,20190603,000000,53.0700000,54.5700000,52.6900000,52.8700000,2859
SPFB.CL,D,20190604,000000,53.1200000,53.7500000,52.4100000,52.8900000,955
SPFB.CL,D,20190605,000000,52.9500000,53.3600000,50.9700000,51.7200000,2672
SPFB.CL,D,20190606,000000,51.7700000,53.2700000,51.3500000,53.1900000,1838
SPFB.CL,D,20190607,000000,53.2700000,54.2200000,52.6500000,54.0200000,2061
SPFB.CL,D,20190610,000000,54.5000000,54.6500000,53.3000000,53.5600000,119
SPFB.CL,D,20190611,000000,54.0700000,54.1100000,53.3000000,53.3000000,286
SPFB.CL,D,20190613,000000,53.0500000,53.6800000,52.2800000,52.5900000,644
SPFB.CL,D,20190614,000000,52.5300000,53.0600000,52.0700000,52.7500000,982
SPFB.CL,D,20190617,000000,52.5400000,52.6500000,51.8900000,52.2000000,768
SPFB.CL,D,20190618,000000,51.8800000,54.5000000,51.8000000,54.3300000,1053
SPFB.CL,D,20190619,000000,54.2000000,54.6000000,53.5400000,54.4900000,1912
SPFB.CL,D,20190620,000000,54.6000000,57.3000000,54.6000000,57.1500000,4314
SPFB.CL,D,20190621,000000,57.0000000,57.9000000,56.9500000,57.5900000,1041
SPFB.CL,D,20190624,000000,58.0700000,58.1500000,56.8000000,57.8500000,3534
SPFB.CL,D,20190625,000000,57.7000000,58.7000000,57.5000000,58.7000000,2115
SPFB.CL,D,20190626,000000,58.9700000,59.8700000,58.7000000,59.2500000,2111
SPFB.CL,D,20190627,000000,58.2100000,59.6600000,57.7000000,59.3000000,1103
SPFB.CL,D,20190628,000000,59.1700000,59.7500000,57.8800000,58.1400000,1729
SPFB.CL,D,20190701,000000,58.3400000,62.8900000,58.3400000,58.9600000,1521
SPFB.CL,D,20190702,000000,59.2700000,59.2700000,56.1300000,56.1900000,4093
SPFB.CL,D,20190703,000000,56.3800000,57.4400000,55.9600000,57.4400000,2491
SPFB.CL,D,20190704,000000,57.4400000,57.4400000,56.5300000,56.9800000,1020
SPFB.CL,D,20190705,000000,56.4000000,57.7800000,56.2800000,57.7800000,3255
SPFB.CL,D,20190708,000000,57.6400000,58.3900000,57.3000000,57.4400000,2594
SPFB.CL,D,20190709,000000,57.4700000,58.6500000,57.3500000,58.4000000,1204
SPFB.CL,D,20190710,000000,58.9000000,60.4700000,58.8200000,60.3700000,230
SPFB.CL,D,20190711,000000,60.8700000,60.9700000,60.3000000,60.5000000,526
SPFB.CL,D,20190712,000000,60.7500000,60.7500000,60.0000000,60.3900000,972
SPFB.CL,D,20190715,000000,60.3600000,60.5600000,59.3400000,59.3400000,872
SPFB.CL,D,20190716,000000,59.4800000,60.1300000,57.1700000,58.1000000,1551
SPFB.CL,D,20190717,000000,57.8000000,58.3800000,56.4000000,56.4000000,1126
SPFB.CL,D,20190718,000000,56.7900000,57.4000000,55.0000000,55.7200000,871
SPFB.CL,D,20190719,000000,55.9900000,56.3600000,55.1900000,56.0500000,888
SPFB.CL,D,20190722,000000,56.3000000,57.0000000,55.8700000,56.3000000,3229
SPFB.CL,D,20190723,000000,56.4300000,57.3600000,55.8000000,57.0700000,1865
SPFB.CL,D,20190724,000000,57.0000000,57.6500000,55.5600000,55.8000000,2767
SPFB.CL,D,20190725,000000,56.0400000,56.9500000,55.8400000,55.9800000,3227
SPFB.CL,D,20190726,000000,56.3200000,56.6000000,55.8000000,56.1800000,967
SPFB.CL,D,20190729,000000,56.1500000,57.0500000,55.9000000,57.0000000,1352
SPFB.CL,D,20190730,000000,56.9900000,58.4300000,56.9900000,58.3000000,3004
SPFB.CL,D,20190731,000000,58.3800000,58.8100000,57.9200000,57.9500000,3532
SPFB.CL,D,20190801,000000,57.9100000,58.0000000,53.7000000,54.5400000,4726
SPFB.CL,D,20190802,000000,54.8000000,55.9700000,54.7400000,55.2300000,4702
SPFB.CL,D,20190805,000000,54.9500000,55.5700000,54.3300000,54.9000000,4361
SPFB.CL,D,20190806,000000,55.1000000,55.3100000,53.5000000,53.5500000,2512
SPFB.CL,D,20190807,000000,53.5000000,53.7200000,50.5700000,52.3500000,6342
SPFB.CL,D,20190808,000000,52.4600000,53.0000000,51.9400000,52.9000000,2148
SPFB.CL,D,20190809,000000,52.6800000,54.8700000,52.5000000,54.2700000,4471
SPFB.CL,D,20190812,000000,54.2200000,54.9600000,53.5100000,54.6300000,283
SPFB.CL,D,20190813,000000,54.6800000,57.2400000,54.3300000,56.5100000,1073
SPFB.CL,D,20190814,000000,56.4300000,56.4300000,54.1500000,55.0500000,1539
SPFB.CL,D,20190815,000000,55.2400000,55.3100000,53.9000000,54.7800000,2482
SPFB.CL,D,20190816,000000,55.0000000,55.5300000,54.2800000,54.8500000,2108
SPFB.CL,D,20190819,000000,54.9400000,56.3300000,54.8300000,56.1000000,4213
SPFB.CL,D,20190820,000000,56.1600000,56.5300000,55.1900000,56.1100000,1758
SPFB.CL,D,20190821,000000,56.2900000,57.0800000,55.5400000,55.9200000,4111
SPFB.CL,D,20190822,000000,55.7800000,56.4000000,55.0800000,55.3800000,2016
SPFB.CL,D,20190823,000000,55.4500000,55.5200000,53.3000000,53.8900000,5314
SPFB.CL,D,20190826,000000,53.8800000,55.2900000,53.6200000,53.8100000,3139
SPFB.CL,D,20190827,000000,53.8300000,55.5300000,53.7200000,55.5300000,3380
SPFB.CL,D,20190828,000000,55.6300000,56.7800000,55.3700000,55.8700000,1951
SPFB.CL,D,20190829,000000,55.8200000,56.7500000,55.5600000,56.6500000,1598
SPFB.CL,D,20190830,000000,56.5000000,56.6000000,54.5800000,55.0100000,5460
