<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.LKOH,D,20151118,000000,25475.0000000,25685.0000000,25209.0000000,25563.0000000,37797
SPFB.LKOH,D,20151119,000000,25580.0000000,25866.0000000,25341.0000000,25559.0000000,36829
SPFB.LKOH,D,20151120,000000,25566.0000000,25869.0000000,25281.0000000,25605.0000000,27709
SPFB.LKOH,D,20151123,000000,25606.0000000,26728.0000000,25323.0000000,26580.0000000,60288
SPFB.LKOH,D,20151124,000000,26597.0000000,26799.0000000,25632.0000000,25894.0000000,56666
SPFB.LKOH,D,20151125,000000,25884.0000000,26369.0000000,25871.0000000,26231.0000000,38263
SPFB.LKOH,D,20151126,000000,26247.0000000,26403.0000000,25932.0000000,26045.0000000,28123
SPFB.LKOH,D,20151127,000000,26042.0000000,26063.0000000,25434.0000000,25500.0000000,34768
SPFB.LKOH,D,20151130,000000,25481.0000000,25854.0000000,25187.0000000,25546.0000000,52123
SPFB.LKOH,D,20151201,000000,25570.0000000,25751.0000000,25305.0000000,25666.0000000,27180
SPFB.LKOH,D,20151202,000000,25640.0000000,25867.0000000,25301.0000000,25352.0000000,28486
SPFB.LKOH,D,20151203,000000,25375.0000000,25889.0000000,25343.0000000,25751.0000000,26698
SPFB.LKOH,D,20151204,000000,25758.0000000,25872.0000000,24848.0000000,24945.0000000,51080
SPFB.LKOH,D,20151207,000000,24995.0000000,25082.0000000,24061.0000000,24183.0000000,43227
SPFB.LKOH,D,20151208,000000,24182.0000000,24302.0000000,23552.0000000,23819.0000000,39646
SPFB.LKOH,D,20151209,000000,23830.0000000,24166.0000000,23658.0000000,23861.0000000,31768
SPFB.LKOH,D,20151210,000000,23900.0000000,24540.0000000,23895.0000000,24500.0000000,1539
SPFB.LKOH,D,20151211,000000,24450.0000000,24652.0000000,24266.0000000,24307.0000000,702
SPFB.LKOH,D,20151214,000000,24252.0000000,24648.0000000,24150.0000000,24468.0000000,4374
SPFB.LKOH,D,20151215,000000,24457.0000000,24781.0000000,24410.0000000,24566.0000000,15612
SPFB.LKOH,D,20151216,000000,24591.0000000,24623.0000000,24008.0000000,24249.0000000,19324
SPFB.LKOH,D,20151217,000000,24293.0000000,24580.0000000,23896.0000000,24210.0000000,37354
SPFB.LKOH,D,20151218,000000,24200.0000000,24269.0000000,23264.0000000,23342.0000000,32609
SPFB.LKOH,D,20151221,000000,23375.0000000,23460.0000000,23203.0000000,23293.0000000,29853
SPFB.LKOH,D,20151222,000000,23349.0000000,23434.0000000,22899.0000000,23165.0000000,31098
SPFB.LKOH,D,20151223,000000,23188.0000000,23986.0000000,23188.0000000,23899.0000000,35623
SPFB.LKOH,D,20151224,000000,23879.0000000,24159.0000000,23742.0000000,23866.0000000,33351
SPFB.LKOH,D,20151225,000000,23862.0000000,23971.0000000,23582.0000000,23696.0000000,12801
SPFB.LKOH,D,20151228,000000,23648.0000000,23742.0000000,23520.0000000,23700.0000000,14428
SPFB.LKOH,D,20151229,000000,23691.0000000,24156.0000000,23601.0000000,24087.0000000,32817
SPFB.LKOH,D,20151230,000000,24087.0000000,24299.0000000,23851.0000000,24020.0000000,19402
SPFB.LKOH,D,20160104,000000,24016.0000000,24082.0000000,23425.0000000,23569.0000000,18131
SPFB.LKOH,D,20160105,000000,23569.0000000,24354.0000000,23547.0000000,24347.0000000,27328
SPFB.LKOH,D,20160106,000000,24324.0000000,24508.0000000,24120.0000000,24343.0000000,20091
SPFB.LKOH,D,20160111,000000,24300.0000000,24300.0000000,22807.0000000,22938.0000000,41685
SPFB.LKOH,D,20160112,000000,22920.0000000,23160.0000000,22506.0000000,22782.0000000,43334
SPFB.LKOH,D,20160113,000000,22785.0000000,23209.0000000,22406.0000000,22470.0000000,29485
SPFB.LKOH,D,20160114,000000,22526.0000000,22742.0000000,22026.0000000,22359.0000000,37707
SPFB.LKOH,D,20160115,000000,22320.0000000,22379.0000000,20805.0000000,21417.0000000,67972
SPFB.LKOH,D,20160118,000000,21266.0000000,21940.0000000,21050.0000000,21568.0000000,46161
SPFB.LKOH,D,20160119,000000,21579.0000000,22378.0000000,21579.0000000,21898.0000000,40462
SPFB.LKOH,D,20160120,000000,21868.0000000,22049.0000000,21257.0000000,22049.0000000,49857
SPFB.LKOH,D,20160121,000000,21911.0000000,22754.0000000,21729.0000000,22590.0000000,54773
SPFB.LKOH,D,20160122,000000,22656.0000000,24014.0000000,22651.0000000,23637.0000000,65407
SPFB.LKOH,D,20160125,000000,23826.0000000,23900.0000000,23348.0000000,23610.0000000,43741
SPFB.LKOH,D,20160126,000000,23606.0000000,23939.0000000,23470.0000000,23636.0000000,48003
SPFB.LKOH,D,20160127,000000,23734.0000000,24637.0000000,23531.0000000,24327.0000000,38007
SPFB.LKOH,D,20160128,000000,24326.0000000,25300.0000000,24181.0000000,25284.0000000,58376
SPFB.LKOH,D,20160129,000000,25300.0000000,25949.0000000,25007.0000000,25898.0000000,56950
SPFB.LKOH,D,20160201,000000,25899.0000000,25911.0000000,25261.0000000,25650.0000000,55258
SPFB.LKOH,D,20160202,000000,25625.0000000,25918.0000000,24960.0000000,24976.0000000,43835
SPFB.LKOH,D,20160203,000000,25040.0000000,25598.0000000,24939.0000000,25526.0000000,34000
SPFB.LKOH,D,20160204,000000,25580.0000000,26052.0000000,25525.0000000,25705.0000000,40541
SPFB.LKOH,D,20160205,000000,25711.0000000,26303.0000000,25555.0000000,26115.0000000,39630
SPFB.LKOH,D,20160208,000000,26115.0000000,26262.0000000,24952.0000000,25165.0000000,52534
